id,titulo,genero,rating
1,Docks of New York,accion,1.7
10,The Case of Lucky Legs,accion,5.2
13,Fall From Grace,accion,3.9
16,North Face,accion,3.9
23,American Winterr,accion,4.5
25,Kick Ass,accion,1.0
27,Telefon,accion,8.2
30,Sometimes They Come Back,accion,9.8
31,Floundering,accion,3.7
34,Yonkers Joe,accion,9.7
43,At the Earths Core,accion,3.7
44,Summer in Berlin,accion,8.4
45,Presidents Man,accion,2.4
46,36 Quai des Orfevres,accion,6.8
48,Taxi 4,accion,4.0
49,Horrible Bosses 2,accion,6.2
50,Jill the Ripper,accion,9.2
54,Heartlands,accion,2.3
61,Wednesday,accion,4.7
63,Invaders from Mars,accion,2.1
64,Ugly Truth,accion,4.2
71,Dr. Jack,accion,1.4
76,North to Alaska,accion,9.4
77,Doubt,accion,3.4
79,Kanine,accion,8.3
81,Carbon Copy,accion,6.5
84,Greatest Show on Earth,accion,5.1
90,Cheech and Chong,accion,5.4
91,Take Me Out to the Ball Game,accion,3.5
93,Ordinary Decent Criminal,accion,1.8
