id,titulo,genero,rating
2,Generals Daughter,comedia,1.6
7,Who Is John Galt,comedia,5.3
11,Musketeer,comedia,5.9
13,Fall From Grace,comedia,6.2
14,Casshern,comedia,4.0
16,North Face,comedia,7.8
17,Satans Tango ,comedia,5.4
20,Boy Meets Boy,comedia,4.7
24,The Tic Code,comedia,2.6
25,Kick Ass,comedia,4.9
26,In the Cut,comedia,7.7
31,Floundering,comedia,4.4
33,The Snow White Murder Case,comedia,9.1
34,Yonkers Joe,comedia,4.8
36,Questioning Darwin,comedia,9.3
39,Bone Collector,comedia,4.0
42,Experiment in Terror,comedia,2.4
44,Summer in Berlin,comedia,1.2
47,Raiders of the Lost Ark,comedia,2.6
48,Taxi 4,comedia,2.2
49,Horrible Bosses 2,comedia,4.7
51,Robot Carnival,comedia,2.7
56,Minions,comedia,3.1
58,Link,comedia,6.0
64,Ugly Truth,comedia,3.9
69,My Favorite Martian,comedia,5.3
70,Pirates Who Dont Do Anything,comedia,7.4
75,Big Mommas Like Father,comedia,8.6
86,Creepshow 2,comedia,6.4
96,Way We Laughed,comedia,7.1
99,Jimmy Rosenberg,comedia,4.5
100,You Kill Me,comedia,9.9
