id,titulo,genero,rating
11,Musketeer,drama,6.3
12,Romantic Comedy,drama,4.9
14,Casshern,drama,6.8
18,Chu Chin Chow,drama,2.4
19,Cannibal Holocaust,drama,8.6
22,Naked in New York,drama,3.0
35,With Love,drama,9.2
37,Designing Woman,drama,3.0
39,Bone Collector,drama,1.4
40,Saturday Night Fever,drama,7.7
47,Raiders of the Lost Ark,drama,8.8
51,Robot Carnival,drama,4.6
53,47 Ronin,drama,5.1
57,Dragon Ball Z,drama,9.8
62,Dawn Rider,drama,7.8
66,My Sassy Girl,drama,3.8
68,Mountaintop Motel Massacre,drama,7.9
74,In America,drama,7.5
75,Big Mommas Like Father,drama,1.6
96,Way We Laughed,drama,4.0
97,Vie en Rose,drama,1.9
100,You Kill Me,drama,5.4
